name,tourism,geometry,latitude,longitude
洗腳池與洗衣池,attraction,POINT (121.5686526 25.1198352),25.1198352,121.5686526
千禧地標,attraction,POINT (121.5612162 25.0842168),25.0842168,121.5612162
健康歩道,attraction,POINT (121.5208149 25.0334127),25.0334127,121.5208149
丹鳳鐵塔,attraction,POINT (121.5127998 25.1337113),25.1337113,121.5127998
潛園,attraction,POINT (121.5531743 25.0919584),25.0919584,121.5531743
帕米爾文物館,attraction,POINT (121.5922086 25.1216274),25.1216274,121.5922086
廢汽車,attraction,POINT (121.5756679 25.1930673),25.1930673,121.5756679
青山石敢當,attraction,POINT (121.5758577 25.1867337),25.1867337,121.5758577
許願樹,attraction,POINT (121.5889392 25.1044836),25.1044836,121.5889392
茶展中心拓印亭,attraction,POINT (121.5957501 24.9690611),24.9690611,121.5957501
樟山寺拓印亭,attraction,POINT (121.5795622 24.9730257),24.9730257,121.5795622
唐山帆船造景,attraction,POINT (121.5076962 25.0569726),25.0569726,121.5076962
方塊平台,viewpoint,POINT (121.5813302 25.1095058),25.1095058,121.5813302
幾米月亮公車,attraction,POINT (121.565655 25.0326896),25.0326896,121.565655
次生林觀察區,viewpoint,POINT (121.5576836 25.0163596),25.0163596,121.5576836
臺灣漫畫基地,museum,POINT (121.5160797 25.0500053),25.0500053,121.5160797
機車瀑布,viewpoint,POINT (121.5110945 25.0627235),25.0627235,121.5110945
台車,attraction,POINT (121.5925494 25.0896978),25.0896978,121.5925494
清代打石場遺跡,attraction,POINT (121.5681798 25.0904992),25.0904992,121.5681798
台灣國家婦女館,museum,POINT (121.5269228 25.0430712),25.0430712,121.5269228
觀景台,viewpoint,POINT (121.5032519 25.1549056),25.1549056,121.5032519
藝文特區,attraction,POINT (121.5378114 25.0328581),25.0328581,121.5378114
新芳春,museum,POINT (121.5126071 25.0571057),25.0571057,121.5126071
樹抱石,attraction,POINT (121.5679142 25.1223526),25.1223526,121.5679142
智慧化居住空間展示中心,museum,POINT (121.5367386 24.9986215),24.9986215,121.5367386
飛機拍攝點,viewpoint,POINT (121.5318089 25.0703262),25.0703262,121.5318089
松石草原,attraction,POINT (121.5733808 25.1532178),25.1532178,121.5733808
關渡秘境花海,attraction,POINT (121.4955933 25.1159755),25.1159755,121.4955933
迷鹿岩,attraction,POINT (121.5203176 25.1423863),25.1423863,121.5203176
白臼樹石地坪,attraction,POINT (121.5681226 25.0901233),25.0901233,121.5681226
擎天崗草原,viewpoint,POINT (121.5755813 25.1649758),25.1649758,121.5755813
東湖櫻花林,attraction,POINT (121.6189645 25.0681123),25.0681123,121.6189645
菁山吊橋,attraction,POINT (121.5656945 25.1664341),25.1664341,121.5656945
臺灣銀行文物館,museum,POINT (121.5112589 25.0414149),25.0414149,121.5112589
鵝膏嶺,attraction,POINT (121.6128416 24.9736163),24.9736163,121.6128416
台北市夜景,viewpoint,POINT (121.516594 25.1234283),25.1234283,121.516594
格物台(美麗華飛機101捷運大景),attraction,POINT (121.555481 25.0882518),25.0882518,121.555481
關渡碼頭觀景臺,viewpoint,POINT (121.4636651 25.1161742),25.1161742,121.4636651
台灣幸福石,attraction,POINT (121.5095358 25.1342194),25.1342194,121.5095358
南港公園,attraction,POINT (121.5908874 25.0412675),25.0412675,121.5908874
弘法大師岩,attraction,POINT (121.5096496 25.1340787),25.1340787,121.5096496
創藝小客廳,attraction,POINT (121.5320881 25.0105797),25.0105797,121.5320881
華岡博物館,museum,POINT (121.5406665 25.1373457),25.1373457,121.5406665
信箱牆,attraction,POINT (121.5328746 25.0105485),25.0105485,121.5328746
牛奶湖觀景台,attraction,POINT (121.5643454 25.1663004),25.1663004,121.5643454
青年公園苗圃,attraction,POINT (121.5040067 25.0212845),25.0212845,121.5040067
101、102賞景平台,viewpoint,POINT (121.5769749 25.0314805),25.0314805,121.5769749
士林萌虎,attraction,POINT (121.5252819 25.0892646),25.0892646,121.5252819
臺北植物園苗圃,attraction,POINT (121.5081815 25.0330997),25.0330997,121.5081815
德興礦坑,attraction,POINT (121.5732155 25.0153771),25.0153771,121.5732155
鵝尾山水田,attraction,POINT (121.5738833 25.1278289),25.1278289,121.5738833
台灣石,attraction,POINT (121.5813708 25.1542041),25.1542041,121.5813708
美麗華夜景,attraction,POINT (121.5498565 25.0898863),25.0898863,121.5498565
看飛機起降,attraction,POINT (121.5287278 25.0833348),25.0833348,121.5287278
水禽觀察區,viewpoint,POINT (121.5837099 24.9941275),24.9941275,121.5837099
菩提岩,viewpoint,POINT (121.5436882 25.1893083),25.1893083,121.5436882
內厝溪櫻木花廊,attraction,POINT (121.5789157 25.1376959),25.1376959,121.5789157
蒙藏文化中心,museum,POINT (121.5313851 25.0277387),25.0277387,121.5313851
F-5E戰鬥機 #5197,attraction,POINT (121.5975172 25.0716654),25.0716654,121.5975172
坪頂新圳取水源頭,attraction,POINT (121.582245 25.1412531),25.1412531,121.582245
國家鐵道博物館籌備處,museum,POINT (121.5641331 25.0474009),25.0474009,121.5641331
象牙岩,attraction,POINT (121.5774493 25.0287306),25.0287306,121.5774493
一線天,attraction,POINT (121.5756914 25.0256772),25.0256772,121.5756914
地理絡記碑,attraction,POINT (121.5244699 25.0531734),25.0531734,121.5244699
警政署警察史蹟館,museum,POINT (121.5227109 25.0454126),25.0454126,121.5227109
Hot stone chairs,attraction,POINT (121.5113339 25.1378856),25.1378856,121.5113339
小紅厝月經博物館,museum,POINT (121.5151934 25.0744827),25.0744827,121.5151934
觀蛙台,attraction,POINT (121.5484978 24.9950044),24.9950044,121.5484978
探索平台,attraction,POINT (121.5485488 24.9956268),24.9956268,121.5485488
尋蹤平台,attraction,POINT (121.5492623 24.9950956),24.9950956,121.5492623
森心平台,attraction,POINT (121.5490061 24.9953582),24.9953582,121.5490061
Taipei Lumitree,attraction,POINT (121.5492069 25.0322437),25.0322437,121.5492069
林森紀念堂,museum,POINT (121.5149541 25.0299064),25.0299064,121.5149541
